symbol,status,baseAsset,quoteAsset
ETHBTC,TRADING,ETH,BTC
LTCBTC,TRADING,LTC,BTC
BNBBTC,TRADING,BNB,BTC
NEOBTC,TRADING,NEO,BTC
QTUMETH,TRADING,QTUM,ETH
EOSETH,BREAK,EOS,ETH
SNTETH,BREAK,SNT,ETH
BNTETH,BREAK,BNT,ETH
BCCBTC,BREAK,BCC,BTC
GASBTC,TRADING,GAS,BTC
BNBETH,TRADING,BNB,ETH
BTCUSDT,TRADING,BTC,USDT
ETHUSDT,TRADING,ETH,USDT
HSRBTC,BREAK,HSR,BTC
OAXETH,BREAK,OAX,ETH
DNTETH,BREAK,DNT,ETH
MCOETH,BREAK,MCO,ETH
ICNETH,BREAK,ICN,ETH
MCOBTC,BREAK,MCO,BTC
WTCBTC,BREAK,WTC,BTC
WTCETH,BREAK,WTC,ETH
LRCBTC,TRADING,LRC,BTC
LRCETH,TRADING,LRC,ETH
QTUMBTC,TRADING,QTUM,BTC
YOYOBTC,BREAK,YOYO,BTC
OMGBTC,BREAK,OMG,BTC
OMGETH,BREAK,OMG,ETH
ZRXBTC,TRADING,ZRX,BTC
ZRXETH,BREAK,ZRX,ETH
STRATBTC,BREAK,STRAT,BTC
STRATETH,BREAK,STRAT,ETH
SNGLSBTC,BREAK,SNGLS,BTC
SNGLSETH,BREAK,SNGLS,ETH
BQXBTC,BREAK,BQX,BTC
BQXETH,BREAK,BQX,ETH
KNCBTC,TRADING,KNC,BTC
KNCETH,BREAK,KNC,ETH
FUNBTC,BREAK,FUN,BTC
FUNETH,BREAK,FUN,ETH
SNMBTC,BREAK,SNM,BTC
SNMETH,BREAK,SNM,ETH
NEOETH,BREAK,NEO,ETH
IOTABTC,TRADING,IOTA,BTC
IOTAETH,TRADING,IOTA,ETH
LINKBTC,TRADING,LINK,BTC
LINKETH,TRADING,LINK,ETH
XVGBTC,BREAK,XVG,BTC
XVGETH,TRADING,XVG,ETH
SALTBTC,BREAK,SALT,BTC
SALTETH,BREAK,SALT,ETH
MDABTC,BREAK,MDA,BTC
MDAETH,BREAK,MDA,ETH
MTLBTC,TRADING,MTL,BTC
MTLETH,BREAK,MTL,ETH
SUBBTC,BREAK,SUB,BTC
SUBETH,BREAK,SUB,ETH
EOSBTC,BREAK,EOS,BTC
SNTBTC,BREAK,SNT,BTC
ETCETH,TRADING,ETC,ETH
ETCBTC,TRADING,ETC,BTC
MTHBTC,BREAK,MTH,BTC
MTHETH,BREAK,MTH,ETH
ENGBTC,BREAK,ENG,BTC
ENGETH,BREAK,ENG,ETH
DNTBTC,BREAK,DNT,BTC
ZECBTC,TRADING,ZEC,BTC
ZECETH,TRADING,ZEC,ETH
BNTBTC,BREAK,BNT,BTC
ASTBTC,BREAK,AST,BTC
ASTETH,BREAK,AST,ETH
DASHBTC,TRADING,DASH,BTC
DASHETH,TRADING,DASH,ETH
OAXBTC,BREAK,OAX,BTC
ICNBTC,BREAK,ICN,BTC
BTGBTC,BREAK,BTG,BTC
BTGETH,BREAK,BTG,ETH
EVXBTC,BREAK,EVX,BTC
EVXETH,BREAK,EVX,ETH
REQBTC,TRADING,REQ,BTC
REQETH,BREAK,REQ,ETH
VIBBTC,BREAK,VIB,BTC
VIBETH,BREAK,VIB,ETH
HSRETH,BREAK,HSR,ETH
TRXBTC,TRADING,TRX,BTC
TRXETH,TRADING,TRX,ETH
POWRBTC,TRADING,POWR,BTC
POWRETH,TRADING,POWR,ETH
ARKBTC,BREAK,ARK,BTC
ARKETH,BREAK,ARK,ETH
YOYOETH,BREAK,YOYO,ETH
XRPBTC,TRADING,XRP,BTC
XRPETH,TRADING,XRP,ETH
MODBTC,BREAK,MOD,BTC
MODETH,BREAK,MOD,ETH
ENJBTC,TRADING,ENJ,BTC
ENJETH,BREAK,ENJ,ETH
STORJBTC,TRADING,STORJ,BTC
